gen,epoch,train_loss,val_loss
0,0,0.1749539017677307,0.09861005691345781
0,1,0.09538939443230629,0.07625128433573991
0,2,0.07992422631382942,0.05519590777112171
0,3,0.06641705955564976,0.05300831166096032
0,4,0.05226149731874466,0.05431852850597352
0,5,0.044996295988559726,0.1151936100795865
0,6,0.041600351467728613,0.033731825184077024
0,7,0.0360626087859273,0.027042112240451388
0,8,0.03334625580906868,0.025138300843536854
0,9,0.03087150202691555,0.023208582220831886
0,10,0.028648354329168797,0.030144391872454435
0,11,0.026945383220911025,0.035332396742887795
0,12,0.026838773846626283,0.028389412589604035
0,13,0.027316881716251372,0.05584884469863027
0,14,0.026501415647566317,0.016447343259642366
1,0,0.16994533294439315,0.12530458415858448
1,1,0.0975656794309616,0.07992380647920072
1,2,0.08153112241625786,0.058328617189545184
1,3,0.06639155837893486,0.06198626756668091
1,4,0.05622496807575226,0.03871938667725772
1,5,0.04768471622467041,0.03602770663565025
1,6,0.041080571174621584,0.037648627447197214
1,7,0.03934337928891182,0.028748079959768802
1,8,0.03386810337007046,0.029428443958749995
1,9,0.032611147455871105,0.029871025995817035
1,10,0.03007243197411299,0.04561028303578496
1,11,0.028874751664698124,0.01781910851423163
1,12,0.030316166877746582,0.0237028963456396
1,13,0.025844524055719374,0.028218617546372116
1,14,0.02555423280596733,0.024077820824459195
2,0,0.16964156639575959,0.0904155649477616
2,1,0.09571475023031235,0.07421543821692467
2,2,0.07944303733110428,0.1203833392355591
2,3,0.06867227473855018,0.0523813798208721
2,4,0.05562935410439968,0.06122735736425966
2,5,0.048990780115127565,0.16693189274519682
2,6,0.044432399451732635,0.03269830084173009
2,7,0.03673317459225654,0.04554682987509295
2,8,0.0334640851020813,0.06831041909754276
2,9,0.03352167023718357,0.03318597038742155
2,10,0.03190571963042021,0.020167206224869005
2,11,0.028287659704685213,0.01922080210351851
2,12,0.0286142837703228,0.02766815152426716
2,13,0.024000104270875455,0.044044179550837725
2,14,0.023048191465437413,0.02115452896396164
3,0,0.17933882009983063,0.14744566241279244
3,1,0.10324362352490425,0.06719924358185381
3,2,0.07722232049703598,0.07904768350999802
3,3,0.06318389230966567,0.052952448022551835
3,4,0.05631792525947094,0.03852959198411554
3,5,0.0478659480214119,0.049802026129327714
3,6,0.040171489626169204,0.0569921990390867
3,7,0.041640420392155646,0.0283236317045521
3,8,0.03482103271782398,0.024208972914493643
3,9,0.03119007235020399,0.029589573823614046
3,10,0.03219921530783176,0.03244547519716434
3,11,0.03059127190709114,0.033069528988562524
3,12,0.02676295406371355,0.01701105380197987
3,13,0.02739949446171522,0.021403624501544982
3,14,0.02651336907595396,0.02229685420752503
4,0,0.16527322074770928,0.1245219346601516
4,1,0.09541700160503387,0.0743096440564841
4,2,0.08189439705014229,0.06373065733350813
4,3,0.06940479910373688,0.056376100867055357
4,4,0.06246121579408646,0.06721737969201058
4,5,0.05356435279548168,0.051949441782198846
4,6,0.04871397995948792,0.03325570674496703
4,7,0.041429379269480704,0.031019129150081426
4,8,0.03969406869262457,0.030235604906920344
4,9,0.036309239372611046,0.03193255286896601
4,10,0.03244919553399086,0.022060759059968404
4,11,0.032593188539147375,0.03564077994087711
4,12,0.030674758866429327,0.01887422015715856
4,13,0.0288675817027688,0.03154995330260135
4,14,0.026763018406927585,0.017801717476686463
5,0,0.18709757179021835,0.1055995172355324
5,1,0.09919837683439255,0.07461114146281034
5,2,0.07954439371824265,0.09419172187335789
5,3,0.06701799947023392,0.04706133925355971
5,4,0.05498519004881382,0.08890187740325928
5,5,0.0460527954697609,0.03270165328285657
5,6,0.042059351816773415,0.03161391612957232
5,7,0.039919434383511546,0.03878561011515558
5,8,0.03641904151439667,0.03182337386533618
5,9,0.0329932614043355,0.03204005924635567
5,10,0.03314741325378418,0.059798361151479185
5,11,0.03270601384341717,0.02252590426360257
5,12,0.02898931510001421,0.01844651554711163
5,13,0.028707380197942257,0.027662261709338054
5,14,0.025430733650922775,0.02004222819232382
6,0,0.1720677852034569,0.09816222172230482
6,1,0.09219254568219185,0.0634321024408564
6,2,0.07863814345002175,0.06284656806383282
6,3,0.06300655579566955,0.06807827221928164
6,4,0.05638704870641231,0.04829405131749809
6,5,0.04732818180322647,0.039203510066727176
6,6,0.04298248009383678,0.030725693970452994
6,7,0.038141085982322694,0.025544696603901684
6,8,0.033482776500284674,0.025990079244365916
6,9,0.03514520186185837,0.06730137800332159
6,10,0.031227200888097287,0.028499843407189474
6,11,0.030158712103962898,0.022255304851569235
6,12,0.028089425414800643,0.018583068245789036
6,13,0.02695787797868252,0.03817017882829532
6,14,0.026003194116055964,0.017060263839084655
7,0,0.17148002421855926,0.08932554500643164
7,1,0.09732025653123856,0.08818107226397842
7,2,0.07637278428673744,0.07190257625188679
7,3,0.06643376365303993,0.04726508061867207
7,4,0.05520070031285286,0.05906389106530696
7,5,0.05110548329353332,0.07517293677665293
7,6,0.04466535957157612,0.0385060565022286
7,7,0.03942134642601013,0.02777797487215139
